species;genus;family;species.relative;genus.relative
Acer mono;Acer;Sapindaceae;;
Betula dahurica;Betula;Betulaceae;;
Carpinus turczaninowii;Carpinus;Betulaceae;;
Celtis bungeana;Celtis;Cannabaceae;;
Corylus mandshurica;Corylus;Betulaceae;;
Fraxinus chinensis;Fraxinus;Oleaceae;;
Juglans mandshurica;Juglans;Juglandaceae;;
Populus davidiana;Populus;Salicaceae;;
Prunus armeniaca;Prunus;Rosaceae;;
Prunus davidiana;Prunus;Rosaceae;;
Prunus triloba;Prunus;Rosaceae;;
Quercus liaotungensis;Quercus;Fagaceae;;
Rhamnus utilis;Rhamnus;Rhamnaceae;;
Syringa pekinensis;Syringa;Oleaceae;;
Syringa reticulata;Syringa;Oleaceae;;
Tilia amurensis;Tilia;Malvaceae;;
Tilia mongolica;Tilia;Malvaceae;;
Ulmus japonica;Ulmus;Ulmaceae;;
Ulmus laciniata;Ulmus;Ulmaceae;;
Ulmus macrocarpa;Ulmus;Ulmaceae;;
Abelia biflora;Abelia;Caprifoliaceae;;
Ampelopsis humulifolia;Ampelopsis;Vitaceae;;
Broussonetia papyrifera;Broussonetia;Moraceae;;
Cornus bretschneideri;Cornus;Cornaceae;;
Corylus heterophylla;Corylus;Betulaceae;;
Deutzia grandiflora;Deutzia;Hydrangeaceae;;
Deutzia parviflora;Deutzia;Hydrangeaceae;;
Elsholtzia stauntoni;Elsholtzia;Lamiaceae;;
Euonymus alatus;Euonymus;Celastraceae;;
Leptopus chinensis;Leptopus;Phyllanthaceae;;
Lespedeza bicolor;Lespedeza;Fabaceae;;
Lonicera chrysantha;Lonicera;Caprifoliaceae;;
Lonicera japonica;Lonicera;Caprifoliaceae;;
Malus baccata;Malus;Rosaceae;;
Myripnois dioica;Myripnois;Asteraceae;;
Populus cathayana;Populus;Salicaceae;;
Rhamnus davurica;Rhamnus;Rhamnaceae;;
Rhododendron micranthum;Rhododendron;Ericaceae;;
Rubus Sp.;Rubus;Rosaceae;;
Salix caprea;Salix;Salicaceae;;
Sorbus discolor;Sorbus;Rosaceae;;
Spiraea blumei;Spiraea;Rosaceae;;
Spiraea dasyantha;Spiraea;Rosaceae;;
Viburnum mongolicum;Viburnum;Adoxaceae;;
